
2024/01/05 (10:39:32) | INFO: Running on /dev/pts/4
2024/01/05 (10:39:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/05 (10:39:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/05 (10:39:32) | DEBUG: Shared::init() : Initialized.

2024/01/05 (11:04:39) | ===> btop++ v.1.3.0
2024/01/05 (11:04:39) | INFO: Logger set to DEBUG
2024/01/05 (11:04:39) | DEBUG: Using locale en_US.UTF-8
2024/01/05 (11:04:39) | INFO: Running on /dev/pts/1
2024/01/05 (11:04:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/05 (11:04:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/05 (11:04:40) | DEBUG: Shared::init() : Initialized.

2024/01/05 (12:22:19) | ===> btop++ v.1.3.0
2024/01/05 (12:22:19) | INFO: Logger set to DEBUG
2024/01/05 (12:22:19) | DEBUG: Using locale en_US.UTF-8
2024/01/05 (12:22:19) | INFO: Running on /dev/pts/2
2024/01/05 (12:22:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/05 (12:22:19) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/05 (12:22:19) | DEBUG: Shared::init() : Initialized.

2024/01/05 (20:53:22) | ===> btop++ v.1.3.0
2024/01/05 (20:53:22) | INFO: Logger set to DEBUG
2024/01/05 (20:53:22) | DEBUG: Using locale en_US.UTF-8
2024/01/05 (20:53:22) | INFO: Running on /dev/pts/2
2024/01/05 (20:53:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/05 (20:53:22) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/05 (20:53:22) | DEBUG: Shared::init() : Initialized.

2024/01/07 (09:31:14) | ===> btop++ v.1.3.0
2024/01/07 (09:31:14) | INFO: Logger set to DEBUG
2024/01/07 (09:31:14) | DEBUG: Using locale en_US.UTF-8
2024/01/07 (09:31:14) | INFO: Running on /dev/pts/3
2024/01/07 (09:31:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/07 (09:31:15) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/07 (09:31:15) | DEBUG: Shared::init() : Initialized.

2024/01/07 (09:31:43) | ===> btop++ v.1.3.0
2024/01/07 (09:31:43) | INFO: Logger set to DEBUG
2024/01/07 (09:31:43) | DEBUG: Using locale en_US.UTF-8
2024/01/07 (09:31:43) | INFO: Running on /dev/pts/1
2024/01/07 (09:31:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/07 (09:31:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/07 (09:31:43) | DEBUG: Shared::init() : Initialized.

2024/01/07 (09:31:50) | ===> btop++ v.1.3.0
2024/01/07 (09:31:50) | INFO: Logger set to DEBUG
2024/01/07 (09:31:50) | DEBUG: Using locale en_US.UTF-8
2024/01/07 (09:31:50) | INFO: Running on /dev/pts/1
2024/01/07 (09:31:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/07 (09:31:50) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/07 (09:31:50) | DEBUG: Shared::init() : Initialized.

2024/01/07 (09:31:59) | ===> btop++ v.1.3.0
2024/01/07 (09:31:59) | INFO: Logger set to DEBUG
2024/01/07 (09:31:59) | DEBUG: Using locale en_US.UTF-8
2024/01/07 (09:31:59) | INFO: Running on /dev/pts/1
2024/01/07 (09:32:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/07 (09:32:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/07 (09:32:00) | DEBUG: Shared::init() : Initialized.

2024/01/08 (00:30:14) | ===> btop++ v.1.3.0
2024/01/08 (00:30:14) | INFO: Logger set to DEBUG
2024/01/08 (00:30:14) | DEBUG: Using locale en_US.UTF-8
2024/01/08 (00:30:14) | INFO: Running on /dev/pts/0
2024/01/08 (00:30:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/08 (00:30:15) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/08 (00:30:15) | DEBUG: Shared::init() : Initialized.

2024/01/08 (17:30:53) | ===> btop++ v.1.3.0
2024/01/08 (17:30:53) | INFO: Logger set to DEBUG
2024/01/08 (17:30:53) | DEBUG: Using locale en_US.UTF-8
2024/01/08 (17:30:53) | INFO: Running on /dev/pts/0
2024/01/08 (17:30:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/08 (17:30:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/08 (17:30:53) | DEBUG: Shared::init() : Initialized.

2024/01/08 (21:24:13) | ===> btop++ v.1.3.0
2024/01/08 (21:24:13) | INFO: Logger set to DEBUG
2024/01/08 (21:24:13) | DEBUG: Using locale en_US.UTF-8
2024/01/08 (21:24:13) | INFO: Running on /dev/pts/3
2024/01/08 (21:24:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/08 (21:24:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/08 (21:24:13) | DEBUG: Shared::init() : Initialized.

2024/01/09 (22:31:53) | ===> btop++ v.1.3.0
2024/01/09 (22:31:53) | INFO: Logger set to DEBUG
2024/01/09 (22:31:53) | DEBUG: Using locale en_US.UTF-8
2024/01/09 (22:31:53) | INFO: Running on /dev/pts/1
2024/01/09 (22:31:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/09 (22:31:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/09 (22:31:53) | DEBUG: Shared::init() : Initialized.
2024/01/09 (22:32:06) | INFO: Quitting! Runtime: 00:00:13

2024/01/10 (19:09:00) | ===> btop++ v.1.3.0
2024/01/10 (19:09:00) | INFO: Logger set to DEBUG
2024/01/10 (19:09:00) | DEBUG: Using locale en_US.UTF-8
2024/01/10 (19:09:00) | INFO: Running on /dev/pts/1
